,year,make,model,body,transmission,state,condition,odometer,color,interior,mmr,sellingprice,income,using_time,region
174803,2012,infiniti,M,sedan,automatic,tn,5.0,35439.0,gray,black,24600,24600,57290,3,southeast
182881,2003,chevrolet,Impala,sedan,automatic,md,3.3,138461.0,red,gray,2250,2400,89090,12,northeast
372241,2005,hyundai,Santa Fe,suv,automatic,va,2.5,148266.0,blue,gray,2575,3300,74430,10,southeast
326815,2013,chevrolet,Malibu,sedan,automatic,mi,2.8,57323.0,gold,gray,11100,10600,65610,2,midwest
78904,2012,nissan,Altima,sedan,automatic,tx,3.4,41193.0,white,beige,11600,11400,68360,3,southwest
226421,2003,mercedes-benz,E-Class,sedan,automatic,fl,2.8,126584.0,silver,green,4850,4300,59100,12,southeast
173346,2013,lincoln,MKS,sedan,automatic,tn,3.2,12084.0,—,black,27600,26100,57290,2,southeast
117777,2010,chevrolet,Malibu,sedan,automatic,pa,3.7,38331.0,red,black,9775,10500,73100,5,northeast
192225,1999,isuzu,Rodeo,suv,automatic,fl,2.7,129843.0,white,gray,1075,700,59100,15,southeast
365983,2004,toyota,Sienna,van,automatic,va,2.2,138106.0,blue,gray,4150,4800,74430,10,southeast
108447,2004,ford,Explorer,suv,automatic,pa,2.8,111317.0,white,black,4275,2600,73100,11,northeast
161861,2012,mercedes-benz,E-Class,sedan,automatic,tn,3.5,35398.0,gray,black,25800,25750,57290,3,southeast
142865,2011,chevrolet,Impala,sedan,automatic,az,2.5,73354.0,silver,black,7550,7400,63250,4,southwest
421147,2013,mazda,Mazda3,sedan,automatic,il,2.4,50001.0,black,black,9675,9700,73130,2,midwest
334195,2010,chrysler,Sebring,sedan,automatic,mi,3.4,83541.0,black,beige,6575,5900,65610,5,midwest
173273,2012,honda,Accord,sedan,automatic,tn,3.2,61783.0,black,tan,14350,14400,57290,3,southeast
192360,2013,hyundai,Elantra,sedan,automatic,fl,1.0,17281.0,black,tan,12450,9500,59100,2,southeast
44688,2007,nissan,Altima Hybrid,sedan,automatic,ca,2.6,189122.0,gray,gray,3700,3750,77030,8,pacific
418205,2006,pontiac,G6,sedan,automatic,il,1.9,81654.0,black,black,5075,3900,73130,9,midwest
215002,2013,ford,Fusion,sedan,automatic,fl,3.3,24359.0,silver,black,15250,13800,59100,2,southeast
249939,2013,chevrolet,Spark,hatchback,automatic,fl,2.8,49325.0,blue,black,7550,7500,59100,2,southeast
351589,1994,ford,Taurus,sedan,automatic,ga,2.0,39196.0,black,tan,375,400,61450,21,southeast
119774,2013,ford,Fiesta,sedan,automatic,pa,5.0,25896.0,red,black,9525,10000,73100,2,northeast
148064,2009,kia,Rio,sedan,automatic,az,2.5,111915.0,black,black,2450,3000,63250,6,southwest
245037,2013,hyundai,Sonata,sedan,automatic,fl,4.2,35430.0,red,beige,15550,15200,59100,2,southeast
245079,2013,toyota,Camry,sedan,automatic,fl,3.2,59960.0,black,gray,11550,11500,59100,2,southeast
69151,2008,mazda,Mazda3,sedan,automatic,tx,2.0,120949.0,red,black,3825,4000,68360,6,southwest
232489,2012,nissan,Altima,coupe,automatic,fl,4.5,34054.0,white,black,13500,14400,59100,3,southeast
192752,2011,infiniti,G Sedan,sedan,automatic,fl,1.9,69039.0,gray,black,16200,14000,59100,4,southeast
402645,2006,ford,F-150,cab,automatic,il,3.0,172388.0,white,gray,3775,2500,73130,8,midwest
234421,2014,chevrolet,Impala,sedan,automatic,fl,3.0,19085.0,gray,black,18400,18500,59100,1,southeast
450618,2015,dodge,Dart,sedan,automatic,ny,5.0,2130.0,blue,black,14000,14100,70210,0,northeast
93646,2014,ford,Mustang,coupe,automatic,tx,3.4,42485.0,black,black,17300,18100,68360,1,southwest
442467,2013,hyundai,Genesis,sedan,automatic,mo,3.2,45205.0,silver,black,15600,14601,71660,2,midwest
336094,2005,chrysler,Town and Country,van,automatic,ga,2.1,128253.0,silver,gray,3200,2700,61450,9,southeast
120714,2009,dodge,Grand Caravan,van,automatic,pa,2.5,221872.0,green,black,3450,1000,73100,6,northeast
319897,2007,chrysler,Town and Country,van,automatic,oh,1.9,87535.0,—,gray,4425,3400,64520,8,midwest
129111,2012,honda,Civic,coupe,automatic,pa,2.7,34813.0,white,gray,11600,9700,73100,3,northeast
184006,2008,subaru,Outback,wagon,automatic,md,2.7,104673.0,blue,black,7650,7100,89090,7,northeast
311370,2014,ford,Focus,sedan,automatic,oh,4.8,5263.0,—,black,12600,13600,64520,1,midwest
451949,2004,dodge,Dakota,cab,automatic,ma,1.9,141643.0,black,black,4700,1300,82150,11,northeast
87051,2014,nissan,Versa Note,hatchback,automatic,tx,2.9,9815.0,white,—,11000,8500,68360,1,southwest
70132,2010,buick,Enclave,suv,automatic,tx,4.1,83587.0,brown,tan,16100,16000,68360,4,southwest
449117,2002,volkswagen,Golf,hatchback,manual,ny,4.0,204262.0,silver,black,1200,3400,70210,13,northeast
