,Unnamed: 0.1,Unnamed: 0,PC1,PC2,year,condition,odometer,mmr,sellingprice,income,using_time,make,model,body,transmission,state,color,interior,region,K
0,0,0,2.1451332420080256,-1.0502702995478437,2012,5.0,35439.0,24600,24600,57290,3,infiniti,M,sedan,automatic,tn,gray,black,southeast,2
1,1,1,-3.3111557245417624,2.399002391992584,2003,3.3,138461.0,2250,2400,89090,12,chevrolet,Impala,sedan,automatic,md,red,gray,northeast,5
2,2,2,-3.142698100516988,0.638513183229733,2005,2.5,148266.0,2575,3300,74430,10,hyundai,Santa Fe,suv,automatic,va,blue,gray,southeast,9
3,3,3,0.2210010415139278,-0.5666170638413693,2013,2.8,57323.0,11100,10600,65610,2,chevrolet,Malibu,sedan,automatic,mi,gold,gray,midwest,1
4,4,4,0.3905527436019008,-0.1737263783817927,2012,3.4,41193.0,11600,11400,68360,3,nissan,Altima,sedan,automatic,tx,white,beige,southwest,6
5,5,5,-3.1439883371537065,-0.950457395524492,2003,2.8,126584.0,4850,4300,59100,12,mercedes-benz,E-Class,sedan,automatic,fl,silver,green,southeast,5
6,6,6,2.104357453377915,-1.1625017273158604,2013,3.2,12084.0,27600,26100,57290,2,lincoln,MKS,sedan,automatic,tn,—,black,southeast,2
7,7,7,-0.0591757132564127,0.4336620806509519,2010,3.7,38331.0,9775,10500,73100,5,chevrolet,Malibu,sedan,automatic,pa,red,black,northeast,2
8,8,8,-4.317211479793391,-0.8771572568624555,1999,2.7,129843.0,1075,700,59100,15,isuzu,Rodeo,suv,automatic,fl,white,gray,southeast,5
9,9,9,-3.152228643810309,0.6703689679549387,2004,2.2,138106.0,4150,4800,74430,10,toyota,Sienna,van,automatic,va,blue,gray,southeast,9
10,10,10,-2.915081227798836,0.5431666423494372,2004,2.8,111317.0,4275,2600,73100,11,ford,Explorer,suv,automatic,pa,white,black,northeast,0
